City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,suzhou,31.3114,120.6181,15.47,98,100,1.87,CN,1681413587
248,kousseri,12.0769,15.0306,32.39,13,2,5.88,CM,1681413588
249,ilulissat,69.2167,-51.1,-2.99,93,100,3.09,GL,1681413588
250,nishihara,26.1842,127.7558,22.6,94,100,4.63,JP,1681413588
251,severo-kurilsk,50.6789,156.125,-1.49,88,7,1.37,RU,1681413588
252,porbandar,21.6422,69.6093,26.49,68,0,4.59,IN,1681413470
253,porto calvo,-9.045,-35.3983,27.48,65,100,3.72,BR,1681413588
254,belgrade,44.804,20.4651,15.79,55,0,4.63,RS,1681413303
255,lagoa,39.05,-27.9833,16.69,82,100,5.51,PT,1681413589
256,sesheke,-17.4759,24.2968,21.39,34,22,0.78,ZM,1681413589
257,asau,46.4333,26.4,7.51,81,17,1.25,RO,1681413589
258,hambantota,6.1241,81.1185,26.63,83,27,2.63,LK,1681413590
259,jacareacanga,-6.2222,-57.7528,33.86,46,100,0.73,BR,1681413590
260,ola,59.5833,151.2833,-7.14,75,100,4.6,RU,1681413590
261,kawalu,-7.3817,108.2082,22.36,97,100,0.78,ID,1681413590
262,yuli,9.6989,10.2744,32.42,15,85,2.28,NG,1681413347
263,kailua,21.4022,-157.7394,26.99,74,100,4.63,US,1681413591
264,aktau,43.65,51.2,12.32,90,100,7.99,KZ,1681413591
265,east london,-33.0153,27.9116,19.34,60,98,4.73,ZA,1681413591
266,khash,28.2211,61.2158,22.04,27,4,3.22,IR,1681413591
267,saint anthony,45.0205,-93.218,29.03,32,0,8.23,US,1681413592
268,khandbari,27.3747,87.2039,20.01,28,3,1.99,NP,1681413592
269,awjilah,29.1081,21.2869,23.28,13,0,3.09,LY,1681413592
270,inhambane,-23.865,35.3833,22.77,79,0,4.2,MZ,1681413592
271,palmer,42.1584,-72.3287,31.78,25,0,5.14,US,1681413592
272,gizo,-8.103,156.8419,26.05,86,100,7.9,SB,1681413593
273,olden,61.8364,6.8064,12.41,88,71,2.93,NO,1681413593
274,ulladulla,-35.35,150.4667,14.32,88,99,5.04,AU,1681413593
275,charlestown,-32.95,151.6667,18.16,97,94,2.24,AU,1681413593
276,tiksi,71.6872,128.8694,-15.76,87,100,1.92,RU,1681413593
277,acapulco,16.8634,-99.8901,30.9,58,40,5.66,MX,1681413360
278,woodward,36.4337,-99.3904,29.57,33,0,9.26,US,1681413594
279,kanniyakumari,8.0833,77.5667,28.06,77,28,3.0,IN,1681413594
280,kiama,-34.6833,150.8667,17.22,93,40,1.34,AU,1681413595
281,dongying,37.4564,118.4856,17.89,77,95,0.89,CN,1681413595
282,cockburn town,21.4612,-71.1419,25.89,76,91,5.6,TC,1681413487
283,gladstone,-23.85,151.25,15.96,59,0,1.54,AU,1681413595
284,tabou,4.423,-7.3528,27.69,81,16,3.8,CI,1681413595
285,torbay,47.6666,-52.7314,2.99,96,100,5.14,CA,1681413595
286,kortkeros,61.8106,51.5806,-8.0,90,8,2.85,RU,1681413596
287,qianan,44.9932,124.0581,3.32,37,2,1.94,CN,1681413596
288,pareora,-44.4871,171.2132,12.88,97,100,5.62,NZ,1681413596
289,longyearbyen,78.2186,15.6401,-0.09,86,75,2.06,SJ,1681413596
290,santa fe,-31.6333,-60.7,21.67,50,91,4.02,AR,1681413316
291,fare,-16.7,-151.0167,27.42,69,15,4.56,PF,1681413597
292,moose factory,51.2585,-80.6094,6.0,65,75,6.69,CA,1681413597
293,takoradi,4.8845,-1.7554,27.68,81,3,4.04,GH,1681413342
294,malakal,9.5334,31.6605,32.25,15,89,2.03,SS,1681413597
295,grand gaube,-20.0064,57.6608,25.21,84,0,1.11,MU,1681413598
296,tijucas,-27.2414,-48.6336,28.26,70,0,5.05,BR,1681413598
297,sao filipe,14.8961,-24.4956,23.3,78,93,2.9,CV,1681413598
298,yulara,-25.2406,130.9889,24.78,43,100,4.42,AU,1681413598
299,melo,-32.3667,-54.1833,21.35,33,100,2.46,UY,1681413598
300,kingisepp,59.3733,28.6134,6.06,68,100,5.44,RU,1681413599
301,chicama,-7.8447,-79.1469,28.72,64,98,4.57,PE,1681413599
302,tambacounda,13.7539,-13.7586,40.03,18,0,4.12,SN,1681413599
303,constitucion,-35.3333,-72.4167,16.8,70,64,3.1,CL,1681413599
304,hamilton,39.1834,-84.5333,27.89,27,0,2.57,US,1681413556
305,macae,-22.3708,-41.7869,27.89,76,15,3.6,BR,1681412948
306,mananjary,-21.2167,48.3333,24.21,83,99,0.34,MG,1681413600
307,makakilo city,21.3469,-158.0858,26.18,63,0,5.14,US,1681413600
308,hailar,49.2,119.7,-1.85,67,0,1.87,CN,1681413600
309,shingu,33.7333,135.9833,11.23,68,100,2.14,JP,1681413600
310,port augusta,-32.5,137.7667,14.46,63,9,2.18,AU,1681413601
311,mormugao,15.4,73.8,27.41,82,98,1.72,IN,1681413601
